adrenal_gland	autonomic_ganglia	biliary_tract	bone	breast	central_nervous_system	cervix	endometrium	eye	genital_tract	haematopoietic_and_lymphoid_tissue	kidney	large_intestine	liver	lung	meninges	NS	oesophagus	ovary	pancreas	penis	perineum	peritoneum	pituitary	placenta	pleura	prostate	salivary_gland	skin	small_intestine	soft_tissue	stomach	testis	thymus	thyroid	upper_aerodigestive_tract	urinary_tract	vagina	vulva	gene
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MAP1LC3C
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	MGRN1
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MYO1C
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	0.3333333333333333	1	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MYO6
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NAPA
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NSF
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	OPTN
NA	NA	0	NA	0.08333333333333333	0	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	OSBPL1A
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PI4K2A
0	0.011627906976744186	0	0.0072992700729927005	0.003205128205128205	0.007987220447284345	0	0.01809954751131222	0	0	0.014492753623188406	0.002109704641350211	0.017196904557179708	0	0.022607022607022607	0	0.023148148148148147	0	0.003257328990228013	0.005357142857142857	0.375	0	0	0	0	0.005235602094240838	0.0038860103626943004	0	0.03836930455635491	0	0.002881844380403458	0.004	0	0	0.0034802784222737818	0.010067114093959731	0.016587677725118485	0	0	PIK3C3
